"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Heiße Dates am Arbeitsplatz, Band 01","",4.1,86,"ai hibiki",1019,"-","-","No","5,99 €","-","-","https://www.amazon.de/Hei%C3%9Fe-Dates-Arbeitsplatz-Band-01-ebook/dp/B0C4VBWNZ9"
"Den CEO gebändigt","ein enemies to lovers liebesroman (die whitley brüder 4)",4.4,389,"layla hagen",174,482,278,"No","0,99 €","31 €","716 €","https://www.amazon.de/Den-CEO-geb%C3%A4ndigt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FJFWM6BN"
"Doctor's Surprise Twins","an age gap romance",4.2,41,"clara dunn",160,23242,263,"No","0,89 €","0 €","4 €","https://www.amazon.de/Doctors-Surprise-Twins-Age-Romance-ebook/dp/B0FRB2GBF3"
"Sexting the Silverfoxes","eine reverse harem-romanze mit milliardären und altersunterschied",4.3,28,"tess chase",8,406,398,"No","3,99 €","150 €","3.443 €","https://www.amazon.de/Sexting-Silverfoxes-Reverse-Harem-Romanze-Milliard%C3%A4ren-Altersunterschied-ebook/dp/B0GNDNMTYP"
"Meine milliardenschweren Boss-Drillinge","eine milliardenschwere reverse harem-romanze (ihre milliardenschweren drillinge)",4.5,154,"molly eden",18,99,271,"No","2,99 €","303 €","6.962 €","https://www.amazon.de/Meine-milliardenschweren-Boss-Drillinge-milliardenschwere-Reverse-Harem-Romanze-ebook/dp/B0GHZYKF9V"
"Hearts on Ice - Powerplay der Gefühle","",4.3,2240,"poppy j. anderson",173,177,98,"No","1,99 €","158 €","3.625 €","https://www.amazon.de/Hearts-Ice-Powerplay-Poppy-Anderson-ebook/dp/B0FF5DZ4WB"
"Den CEO Verführt","ein grumpy x sunshine liebesroman (die whitley brüder 1)",4.4,840,"layla hagen",222,211,326,"No","0,99 €","59 €","1.350 €","https://www.amazon.de/Den-CEO-Verf%C3%BChrt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FHKM1F9T"
"Heiße Dates am Arbeitsplatz, Band 07","",4.4,31,"ai hibiki",594,"-","-","No","5,99 €","-","-","https://www.amazon.de/Hei%C3%9Fe-Dates-Arbeitsplatz-Band-07-ebook/dp/B0CW1L2GLZ"
"Heiße Dates am Arbeitsplatz, Band 02","",4.2,61,"ai hibiki",956,"-","-","No","5,99 €","-","-","https://www.amazon.de/Hei%C3%9Fe-Dates-Arbeitsplatz-Band-02-ebook/dp/B0CB6N6YK9"
"Daddy’s Double Surprise","eine altersunterschied romanze mit geheimen zwillingsschwangerschaften am arbeitsplatz (billionaire baby daddies (german edition))",4.3,268,"sofia t  summers",276,44199,283,"No","0,99 €","0 €","3 €","https://www.amazon.de/Daddys-Double-Surprise-Altersunterschied-Romanze-Zwillingsschwangerschaften-ebook/dp/B0F8JVK4FL"
"Heiße Dates am Arbeitsplatz, Band 01","",4.1,86,"ai hibiki",1019,"-","-","No","5,99 €","0 €","0 €","https://www.amazon.de/Hei%C3%9Fe-Dates-Arbeitsplatz-Band-01-ebook/dp/B0C4VBWNZ9"
"Den CEO gebändigt","ein enemies to lovers liebesroman (die whitley brüder 4)",4.4,389,"layla hagen",174,482,278,"No","0,99 €","31 €","716 €","https://www.amazon.de/Den-CEO-geb%C3%A4ndigt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FJFWM6BN"
"Doctor's Surprise Twins","an age gap romance",4.2,41,"clara dunn",160,23242,263,"No","1,05 €","0 €","5 €","https://www.amazon.de/Doctors-Surprise-Twins-Age-Romance-ebook/dp/B0FRB2GBF3"
"Sexting the Silverfoxes","eine reverse harem-romanze mit milliardären und altersunterschied",4.3,28,"tess chase",8,406,398,"No","3,99 €","150 €","3.443 €","https://www.amazon.de/Sexting-Silverfoxes-Reverse-Harem-Romanze-Milliard%C3%A4ren-Altersunterschied-ebook/dp/B0GNDNMTYP"
"Meine milliardenschweren Boss-Drillinge","eine milliardenschwere reverse harem-romanze (ihre milliardenschweren drillinge)",4.5,154,"molly eden",18,99,271,"No","2,99 €","303 €","6.962 €","https://www.amazon.de/Meine-milliardenschweren-Boss-Drillinge-milliardenschwere-Reverse-Harem-Romanze-ebook/dp/B0GHZYKF9V"
"Hearts on Ice - Powerplay der Gefühle","",4.3,2240,"poppy j. anderson",173,177,98,"No","1,99 €","158 €","3.625 €","https://www.amazon.de/Hearts-Ice-Powerplay-Poppy-Anderson-ebook/dp/B0FF5DZ4WB"
