"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Herzsplitter - Über alle Grenzen","romance suspense mit grumpy vs sunshine vibes (herz reihe)",4.1,56,"ann christin drewel",375,131850,308,"No","0,99 €","0 €","19 €","https://www.amazon.de/Herzsplitter-Grenzen-Suspense-Sunshine-Herz-Reihe-ebook/dp/B0DV2X93NY"
"Mustang Valley","grumpy sunshine  forced-proximity, liebesroman (starlight canyon ranch (deutsch) 2)",4.5,23,"sienna judd",135,23030,438,"No","5,7 €","1 €","28 €","https://www.amazon.de/Mustang-Valley-Grumpy-Sunshine-Forced-Proximity-Liebesroman-ebook/dp/B0FYP3BJ2Z"
"Den CEO Verführt","ein grumpy x sunshine liebesroman (die whitley brüder 1)",4.3,917,"layla hagen",243,422,326,"No","1,13 €","41 €","942 €","https://www.amazon.de/Den-CEO-Verf%C3%BChrt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FHKM1F9T"
"Hold me in Summer. Eine berry kissed Romance","roman | spiegel bestsellerautorin | grumpy x sunshine trifft auf kleinstadtidylle (dream harbor 4)",4.4,23,"laurie gilmore",19,5318,385,"No","10,99 €","56 €","1.282 €","https://www.amazon.de/Summer-berry-kissed-Romance-SPIEGEL-Bestsellerautorin-ebook/dp/B0FLDNRXC4"
"Mr. Juni","grumpy sunshine  opposites attract, prickelnde matchmaker romanze (die matchmaker-reihe 6)",4.4,4,"ann omasta",153,1270,62,"No","0 €","0 €","0 €","https://www.amazon.de/Mr-Juni-prickelnde-Matchmaker-Romanze-Matchmaker-Reihe-ebook/dp/B0FW5GNQK5"
"Chicago Ruthless (Band 3) - Hopeful","heiße grumpy x sunshine dark mafia romance zwischen macht  verlust und begierde - ab 18 jahren",4.6,46,"sadie kincaid",59,6404,501,"No","11,99 €","34 €","772 €","https://www.amazon.de/Chicago-Ruthless-Band-Sunshine-Mafia-Romance-ebook/dp/B0FTSCT125"
"Unworthy – Sehnsucht nach dir","ein grumpy meets-sunshine-liebesroman",,,"susie tate",-22,3204,350,"No","4,99 €","30 €","679 €","https://www.amazon.de/Unworthy-Sehnsucht-nach-dir-Grumpy-meets-Sunshine-Liebesroman-ebook/dp/B0GF9Q2K8D"
"Ruined On The Ice","ein grumpy sunshine mm eishockey liebesroman (frozen rivals)",4.3,40,"ellis rhodes",27,4486,368,"No","2,99 €","16 €","372 €","https://www.amazon.de/Ruined-Ice-Sunshine-Eishockey-Liebesroman-ebook/dp/B0GNLTHDG1"
"Heartbeat Heat","eine grumpy sunshine gay romance auf deutsch für alle  die gern football liebesromane lesen (l.a. thunderwolves mm football romance)",4.5,182,"aaron coxx",164,4821,75,"No","1,13 €","6 €","137 €","https://www.amazon.de/Heartbeat-Heat-Sunshine-Liebesromane-Thunderwolves-ebook/dp/B0DRWJJHZ6"
"Grumpy Darling","slowburn trifft auf friends to-lovers",,,"alexandra moody",-3,"-",465,"No","4,99 €","0 €","0 €","https://www.amazon.de/Grumpy-Darling-Friends-Lovers-YA-Sports-Romance-Reihe-ebook/dp/B0F532QVMJ"
"Herzsplitter - Über alle Grenzen","romance suspense mit grumpy vs sunshine vibes (herz reihe)",4.1,56,"ann christin drewel",375,131850,308,"No","1,13 €","0 €","21 €","https://www.amazon.de/Herzsplitter-Grenzen-Suspense-Sunshine-Herz-Reihe-ebook/dp/B0DV2X93NY"
"Mustang Valley","grumpy sunshine  forced-proximity, liebesroman (starlight canyon ranch (deutsch) 2)",4.5,23,"sienna judd",135,23030,438,"No","4,99 €","1 €","25 €","https://www.amazon.de/Mustang-Valley-Grumpy-Sunshine-Forced-Proximity-Liebesroman-ebook/dp/B0FYP3BJ2Z"
"Den CEO Verführt","ein grumpy x sunshine liebesroman (die whitley brüder 1)",4.3,917,"layla hagen",243,422,326,"No","1,13 €","41 €","942 €","https://www.amazon.de/Den-CEO-Verf%C3%BChrt-Liebesroman-Whitley-Br%C3%BCder-ebook/dp/B0FHKM1F9T"
"Hold me in Summer. Eine berry kissed Romance","roman | spiegel bestsellerautorin | grumpy x sunshine trifft auf kleinstadtidylle (dream harbor 4)",4.4,23,"laurie gilmore",19,5318,385,"No","12,55 €","64 €","1.464 €","https://www.amazon.de/Summer-berry-kissed-Romance-SPIEGEL-Bestsellerautorin-ebook/dp/B0FLDNRXC4"
