"Titel","Subtitle","Bewertungsnote","Bewertungen","Autor / Autorin","Alter","ABSR","Seitenanzahl","KWT","Preis","Umsatz / Tag","Umsatz / Monat","Verkaufsseite"
"Das ungekürzte Leben der Missy Kinkaid","","-","-","kirsten pursell",131,54,329,"No","0 €","0 €","0 €","https://www.amazon.de/Das-ungek%C3%BCrzte-Leben-Missy-Kinkaid-ebook/dp/B0FSTPYKQS"
"Anfang 40 - Ende offen","",4.1,1068,"franka bloom",3292,12153,408,"No","9,99 €","4 €","95 €","https://www.amazon.de/Anfang-40-offen-Franka-Bloom-ebook/dp/B01F6CGE9C"
"Stethoskop und Schreibfeder","ein liebesroman über zweite chancen und neue wege ab 40 (wein   wahrheit 3)","-","-","maria  weinbauer",147,615867,69,"No","1,19 €","0 €","1 €","https://www.amazon.de/Stethoskop-Schreibfeder-Liebesroman-Chancen-Wahrheit-ebook/dp/B0FSYWT5C9"
"Ab 40 wird's einfach nicht schwer","roman (ladies lounge)",4.2,84,"sylvia kling",2032,174397,290,"No","6,99 €","0 €","119 €","https://www.amazon.de/Ab-wirds-einfach-nicht-schwer-ebook/dp/B08F2RPVV4"
"Liebe trotz allem","",3.9,143,"annabelle benn",3226,1027070,326,"No","4,99 €","0 €","5 €","https://www.amazon.de/Liebe-trotz-allem-Anja-Richter-ebook/dp/B071DN65SL"
"Endlich glücklich ab 40","warum die zweite lebenshälfte deine beste werden kann","-","-","ralf weisbecker",182,304638,106,"No","9,99 €","0 €","100 €","https://www.amazon.de/Endlich-gl%C3%BCcklich-40-zweite-Lebensh%C3%A4lfte-ebook/dp/B0FMXJ27Z8"
"Dating After 40... Weeks! (English Edition)","","-","-","a. b. taylor",47,"-","-","No","2,69 €","-","-","https://www.amazon.de/Dating-After-40-Weeks-English-ebook/dp/B0GF8NXMGY"
"Eine bessere Version von Liebe","",4.3,98,"alea kolling",625,247272,281,"No","3,99 €","0 €","52 €","https://www.amazon.de/Eine-bessere-Version-von-Liebe-ebook/dp/B0D45CJQ5W"
"Die Kirschbauminsel","zweite chance liebesroman ab 40","-","-","daisy landish",32,"-",197,"No","4,99 €","-","-","https://www.amazon.de/Die-Kirschbauminsel-Zweite-Chance-Liebesroman-ebook/dp/B0GDGJL6J9"
"Gefangen im Duft der Rosen","eine heiße milliardärs suspense-romanze (milliardär liebesromane 2)",3.6,45,"anna rusher",202,158337,170,"No","2,69 €","0 €","48 €","https://www.amazon.de/Gefangen-Duft-Rosen-Milliard%C3%A4rs-Suspense-Romanze-Liebesromane-ebook/dp/B0FL7FRS74"
"Das ungekürzte Leben der Missy Kinkaid","",,,"kirsten pursell",131,54,329,"No","0 €","0 €","0 €","https://www.amazon.de/Das-ungek%C3%BCrzte-Leben-Missy-Kinkaid-ebook/dp/B0FSTPYKQS"
"Anfang 40 - Ende offen","",4.1,1068,"franka bloom",3292,12153,408,"No","9,99 €","4 €","95 €","https://www.amazon.de/Anfang-40-offen-Franka-Bloom-ebook/dp/B01F6CGE9C"
"Stethoskop und Schreibfeder","ein liebesroman über zweite chancen und neue wege ab 40 (wein   wahrheit 3)",,,"maria  weinbauer",147,615867,69,"No","1,19 €","0 €","1 €","https://www.amazon.de/Stethoskop-Schreibfeder-Liebesroman-Chancen-Wahrheit-ebook/dp/B0FSYWT5C9"
"Ab 40 wird's einfach nicht schwer","roman (ladies lounge)",4.2,84,"sylvia kling",2032,174397,290,"No","6,99 €","0 €","119 €","https://www.amazon.de/Ab-wirds-einfach-nicht-schwer-ebook/dp/B08F2RPVV4"
"Liebe trotz allem","",3.9,143,"annabelle benn",3226,1027070,326,"No","4,99 €","0 €","5 €","https://www.amazon.de/Liebe-trotz-allem-Anja-Richter-ebook/dp/B071DN65SL"
"Endlich glücklich ab 40","warum die zweite lebenshälfte deine beste werden kann",,,"ralf weisbecker",182,304638,106,"No","9,99 €","0 €","100 €","https://www.amazon.de/Endlich-gl%C3%BCcklich-40-zweite-Lebensh%C3%A4lfte-ebook/dp/B0FMXJ27Z8"
"Dating After 40... Weeks! (English Edition)","",,,"a. b. taylor",47,"-","-","No","2,69 €","0 €","0 €","https://www.amazon.de/Dating-After-40-Weeks-English-ebook/dp/B0GF8NXMGY"
"Eine bessere Version von Liebe","",4.3,98,"alea kolling",625,247272,281,"No","3,99 €","0 €","52 €","https://www.amazon.de/Eine-bessere-Version-von-Liebe-ebook/dp/B0D45CJQ5W"
"Die Kirschbauminsel","zweite chance liebesroman ab 40",,,"daisy landish",32,"-",197,"Yes","4,99 €","0 €","0 €","https://www.amazon.de/Die-Kirschbauminsel-Zweite-Chance-Liebesroman-ebook/dp/B0GDGJL6J9"
"Gefangen im Duft der Rosen","eine heiße milliardärs suspense-romanze (milliardär liebesromane 2)",3.6,45,"anna rusher",202,158337,170,"No","2,69 €","0 €","48 €","https://www.amazon.de/Gefangen-Duft-Rosen-Milliard%C3%A4rs-Suspense-Romanze-Liebesromane-ebook/dp/B0FL7FRS74"
"Das ungekürzte Leben der Missy Kinkaid","",,,"kirsten pursell",131,54,329,"No","0 €","0 €","0 €","https://www.amazon.de/Das-ungek%C3%BCrzte-Leben-Missy-Kinkaid-ebook/dp/B0FSTPYKQS"
"Anfang 40 - Ende offen","",4.1,1068,"franka bloom",3292,12153,408,"No","9,99 €","4 €","95 €","https://www.amazon.de/Anfang-40-offen-Franka-Bloom-ebook/dp/B01F6CGE9C"
"Stethoskop und Schreibfeder","ein liebesroman über zweite chancen und neue wege ab 40 (wein   wahrheit 3)",,,"maria  weinbauer",147,615867,69,"No","1,19 €","0 €","1 €","https://www.amazon.de/Stethoskop-Schreibfeder-Liebesroman-Chancen-Wahrheit-ebook/dp/B0FSYWT5C9"
"Ab 40 wird's einfach nicht schwer","roman (ladies lounge)",4.2,84,"sylvia kling",2032,174397,290,"No","8,24 €","0 €","140 €","https://www.amazon.de/Ab-wirds-einfach-nicht-schwer-ebook/dp/B08F2RPVV4"
"Liebe trotz allem","",3.9,143,"annabelle benn",3226,1027070,326,"No","4,99 €","0 €","5 €","https://www.amazon.de/Liebe-trotz-allem-Anja-Richter-ebook/dp/B071DN65SL"
"Endlich glücklich ab 40","warum die zweite lebenshälfte deine beste werden kann",,,"ralf weisbecker",182,304638,106,"No","9,99 €","0 €","100 €","https://www.amazon.de/Endlich-gl%C3%BCcklich-40-zweite-Lebensh%C3%A4lfte-ebook/dp/B0FMXJ27Z8"
"Dating After 40... Weeks! (English Edition)","",,,"a. b. taylor",47,"-","-","No","2,69 €","0 €","0 €","https://www.amazon.de/Dating-After-40-Weeks-English-ebook/dp/B0GF8NXMGY"
"Eine bessere Version von Liebe","",4.3,98,"alea kolling",625,247272,281,"No","3,99 €","0 €","52 €","https://www.amazon.de/Eine-bessere-Version-von-Liebe-ebook/dp/B0D45CJQ5W"
"Die Kirschbauminsel","zweite chance liebesroman ab 40",,,"daisy landish",32,"-",197,"Yes","5,88 €","0 €","0 €","https://www.amazon.de/Die-Kirschbauminsel-Zweite-Chance-Liebesroman-ebook/dp/B0GDGJL6J9"
"Gefangen im Duft der Rosen","eine heiße milliardärs suspense-romanze (milliardär liebesromane 2)",3.6,45,"anna rusher",202,158337,170,"No","2,69 €","0 €","48 €","https://www.amazon.de/Gefangen-Duft-Rosen-Milliard%C3%A4rs-Suspense-Romanze-Liebesromane-ebook/dp/B0FL7FRS74"
"Das ungekürzte Leben der Missy Kinkaid","",,,"kirsten pursell",131,54,329,"No","0 €","0 €","0 €","https://www.amazon.de/Das-ungek%C3%BCrzte-Leben-Missy-Kinkaid-ebook/dp/B0FSTPYKQS"
"Anfang 40 - Ende offen","",4.1,1068,"franka bloom",3292,12153,408,"No","9,99 €","4 €","95 €","https://www.amazon.de/Anfang-40-offen-Franka-Bloom-ebook/dp/B01F6CGE9C"
"Stethoskop und Schreibfeder","ein liebesroman über zweite chancen und neue wege ab 40 (wein   wahrheit 3)",,,"maria  weinbauer",147,615867,69,"No","1,19 €","0 €","1 €","https://www.amazon.de/Stethoskop-Schreibfeder-Liebesroman-Chancen-Wahrheit-ebook/dp/B0FSYWT5C9"
"Ab 40 wird's einfach nicht schwer","roman (ladies lounge)",4.2,84,"sylvia kling",2032,174397,290,"No","6,99 €","0 €","119 €","https://www.amazon.de/Ab-wirds-einfach-nicht-schwer-ebook/dp/B08F2RPVV4"
"Liebe trotz allem","",3.9,143,"annabelle benn",3226,1027070,326,"No","4,99 €","0 €","5 €","https://www.amazon.de/Liebe-trotz-allem-Anja-Richter-ebook/dp/B071DN65SL"
